ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2234664,MicroFridge,10.3LMF4-9D1X,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3LMF4-9D1X_03122015025156_70025705,Yes
2249044,MicroFridge,10.3LMF4-9TPWX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,10/1/2015,"United States, Canada",ES_0092273_10.3LMF4-9TPWX_10012015045236_70048685,Yes
2249045,MicroFridge,10.3LMF4-9TPX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,10/1/2015,"United States, Canada",ES_0092273_10.3LMF4-9TPX_10012015045236_70048685,Yes
2229663,MicroFridge,10.3LMF4R,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,12/9/2014,12/4/2014,"United States, Canada",ES_0092273_10.3LMF4R_12042014111045_70017616,Yes
2229664,MicroFridge,10.3LMF4RW,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,12/4/2014,"United States, Canada",ES_0092273_10.3LMF4RW_12042014111045_70017616,Yes
2234663,MicroFridge,10.3RMF4-9D1,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3RMF4-9D1 _03122015025156_70025705,Yes
2234661,MicroFridge,10.3RMF4-9D1W,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3RMF4-9D1W _03122015025156_70025705,Yes
2234660,MicroFridge,10.3RMF4-9D1WX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3RMF4-9D1WX_03122015025156_70025705,Yes
2234662,MicroFridge,10.3RMF4-9D1X,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,3/2/2015,"United States, Canada",ES_0092273_10.3RMF4-9D1X_03122015025156_70025705,Yes
2249048,MicroFridge,10.3RMF4-9TP,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,10/1/2015,"United States, Canada",ES_0092273_10.3RMF4-9TP_10012015045236_70048685,Yes
2249046,MicroFridge,10.3RMF4-9TPWX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,10/1/2015,"United States, Canada",ES_0092273_10.3RMF4-9TPWX_10012015045236_70048685,Yes
2249047,MicroFridge,10.3RMF4-9TPX,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,1/3/2015,10/1/2015,"United States, Canada",ES_0092273_10.3RMF4-9TPX_10012015045236_70048685,Yes
2229661,MicroFridge,10.3RMF4R,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,12/8/2014,12/4/2014,"United States, Canada",ES_0092273_10.3RMF4R_12042014111045_70017616,Yes
