Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Comfort-Aire,(16) Casement-Slider,CD-101M,CD-101M,10000.0,961.0,10.4,,No,No
Comfort-Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",REG-123M,REG-123M,12000.0,1100.0,10.9,,No,No
Comfort-Aire,(16) Casement-Slider,CD-81M,CD-81M,8000.0,734.0,10.8,,No,No
Comfort-Aire,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",RAD-283M,RAD-283M,28000.0,3111.0,9.0,,No,No
Midea,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",MWFUK-25ERN1-MCI4,MWFUK-25ERN1-MCI4,25000.0,2660.0,9.4,,No,No
Midea,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",MWFUK-18ERN1-MCJ7,MWFUK-18ERN1-MCJ7,18500.0,1729.0,10.7,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWFUK-08CRN1-BCL0,MWFUK-08CRN1-BCL0,8000.0,666.0,12.0,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWFUK-08CRN1-BCK2,MWFUK-08CRN1-BCK2,8000.0,708.0,11.2,,No,No
Midea,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWFUK-06CRN1-BCL1,MWFUK-06CRN1-BCL1,6000.0,490.0,12.1,,No,No
Midea,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",MWFUK-05CRN1-BCK0,MWFUK-05CRN1-BCK0,5000.0,446.0,11.0,,No,No
Midea,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",MWDUW2-14ERN1-MCI3,MWDUW2-14ERN1-MCI3,14000.0,1505.0,9.3,,No,No
Midea,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",MWDUW2-14CRN1-MCI3,MWDUW2-14CRN1-MCI3,14000.0,1505.0,9.3,,No,No
Midea,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",MWEUW2-12CRN1-BCJ5,MWEUW2-12CRN1-BCJ5,12000.0,1142.0,10.5,,No,No
Midea,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWEUW2-08CRN1-BCJ6,MWEUW2-08CRN1-BCJ6,8000.0,754.0,10.6,,No,No
Midea,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWDUW2-10ERN1-MCI6,MWDUW2-10ERN1-MCI6,10000.0,1042.0,9.6,,No,No
Midea,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWDUW2-08ERN1-BCI6,MWDUW2-08ERN1-BCI6,8000.0,833.0,9.6,,No,No
Midea,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWDUW2-10CRN1-MCI7,MWDUW2-10CRN1-MCI7,10000.0,1020.0,9.7,,No,No
Midea,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",MWDUW2-08CRN1-BCI7,MWDUW2-08CRN1-BCI7,8000.0,816.0,9.7,,No,No
