Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Perfect aire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",3PATW14002,3PATW14002,14000.0,1505.0,9.3,,No,No
Perfect aire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",3PACH25000,3PACH25000,25000.0,2660.0,9.4,,No,No
Perfect aire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",3PACH18000,3PACH18000,18500.0,1729.0,10.7,,No,No
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",3PNC12000,3PNC12000,12000.0,1100.0,10.9,,No,No
Perfect aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",3PNC10000,3PNC10000,10000.0,917.0,10.9,,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEH18DV** (208V),AEL18DV**,17600.0,1480.0,11.8,11.9,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8015ER,1000026802,8000.0,700.0,11.2,11.3,No,No
LG,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",LW5015E,1001088841,5000.0,440.0,11.0,11.2,No,No
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2415HR,1001088834,23000.0,2340.0,9.8,9.8,No,No
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1815ER,1000026817,18000.0,1600.0,11.1,11.2,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1215ER,1000026812,12000.0,1060.0,11.2,11.3,No,No
Danby,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",DAC060BBC*,DAC060BBCWDB,6000.0,490.0,12.1,,No,No
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-10CRA1/L0U(ES),TWAC-10CRA1/L0U(ES),10000.0,840.0,12.0,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1217ERSM,LW1217ERSM,12000.0,990.0,12.0,,No,No
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1017ERSM,LW1017ERSM,10000.0,820.0,12.0,,No,No
TGM,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWDUT06AR3,MWDUT06AR3,6000.0,490.0,12.1,,No,No
CLASSIC,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",MWDUC06AR3,MWDUC06AR3,6000.0,490.0,12.1,,No,No
SOLEUSAIR Icongo,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",WS2-15E-***,WS2-15E-***,15000.0,1230.0,11.8,,No,No
SOLEUSAIR Icongo,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",WS2-24E-***,WS2-24E-***,24000.0,2330.0,10.3,,No,No
Coast air,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CEW121AS,CEW121AS,12000.0,1000.0,12.0,,No,No
Coast air,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CEW081A,CEW081A,8000.0,667.0,12.0,,No,No
TCL,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWAC-06CRA1/J9U,TWAC-06CRA1/J9U,6000.0,492.0,11.0,,No,No
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-08CRA1/J9U,TWAC-08CRA1/J9U,8000.0,661.0,10.9,,No,No
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-10CRA1/J9U,TWAC-10CRA1/J9U,10000.0,840.0,10.9,,No,No
TOSOT,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TJC10BR-A3NRNE2C,TJC10BR-A3NRNE2C,10200.0,115.0,12.0,12.1,No,No
TOSOT,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TJC12BR-A3NRNE2C,TJC12BR-A3NRNE2C,12100.0,115.0,12.0,12.1,No,No
TOSOT,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TJC08BS-A3NRNE2C,TJC08BS-A3NRNE2C,8000.0,115.0,12.0,12.1,No,No
Cool-living,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-08CRA1/L0U(ES),CL-RAC08EWES,8000.0,661.0,12.0,,No,No
Cool-living,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-12CRA1/L0U(ES),CL-RAC12EWES,12000.0,980.0,12.0,,No,No
Cool-living,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TWAC-15CRA1/K8U(ES),CL-RAC15EWES,15000.0,1270.0,11.8,,No,No
Cool-living,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TWAC-18CRA2/K8U(ES),CL-RAC18EWES (230V),18000.0,1525.0,11.8,,No,No
Cool-living,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",TWAC-24CRA2/J3U(ES),CL-RAC24EWES (208V),23600.0,2250.0,10.3,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EL24N35,EL24N35,23200.0,2468.0,9.4,,No,No
Friedrich,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",SL36N30B,EL36N35B,35500.0,3944.0,9.0,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EM18N34A,EM18N34A,20000.0,2041.0,9.8,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SM18N30C,EM18N34B,20000.0,1923.0,10.3,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",EM21N34,EM21N34,20000.0,2041.0,9.8,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",EQ08N10D,EQ08N11D,8000.0,656.0,12.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ES12N33B,ES12N33B,12000.0,1062.0,11.2,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",ES14N33,ES14N33,13000.0,1171.0,10.9,,No,No
Friedrich,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",SL36N30B,SL36N30B,35500.0,3944.0,9.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SM14N10,SM14N10,13700.0,1123.0,12.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SM14N30,SM14N30,13300.0,1099.0,12.0,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SM18N30B,SM18N30B,20000.0,2041.0,9.8,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SM18N30C,SM18N30C,20000.0,1923.0,10.3,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SM21N30E,SM21N30E,21000.0,2019.0,10.3,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SS08N10C,SS08N10C,8000.0,656.0,12.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SS10N10C,SS10N10C,10000.0,820.0,12.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SS12N10C,SS12N10C,11900.0,975.0,12.0,,No,No
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SS12N30C,SS12N30C,11800.0,967.0,12.0,,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",WS12D30,WE12D33,11700.0,1194.0,9.7,,No,No
Friedrich,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",WS10D10A,WS10D10A,9700.0,990.0,9.7,,No,No
Friedrich,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",WS12D10A,WS12D10A,12000.0,1224.0,9.7,,No,No
Friedrich,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",WS15D30A,WS15D30A,14300.0,1521.0,9.3,,No,No
Friedrich,"(13) With reverse cycle, with louvered sides, and 20,000 Btu/h or more",YL24N35C,YL24N35C,24000.0,2330.0,10.2,,No,No
Friedrich,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",YS10N10C,YS10N10C,10000.0,917.0,10.8,,No,No
hOme,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",HME020071N,HME020071N,5000.0,451.0,11.0,,No,No
COOL-LIVING,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",CL-RAC05MW,CL-RAC05MW,5000.0,451.0,11.0,,No,No
KMS,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",CL-RAC05MW,CL-RAC05MW,5000.0,451.0,11.0,,No,No
GREE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",GJC18BY-D3NRNH2B (208V),GJC18BY-D3NRNH2B (208V),17600.0,1470.0,11.8,11.9,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC08BS-A3NRNH2C,GJC08BS-A3NRNH2C,8000.0,660.0,12.0,12.1,No,No
GREE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",GJC06BK-A3NRNH2O,GJC06BK-A3NRNH2O,6000.0,540.0,11.0,11.2,No,No
TCL,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",TWC-05CM/UH-C,TWC-05CM/UH-C,5000.0,451.0,11.0,,No,No
Toshiba,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",RAC-WK1211ESCWU,RAC-WK1211ESCWU,12000.0,1000.0,12.0,,No,No
GREE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",GJC05BT-A6NMNE1A,GJC05BT-A6NMNF1A,5050.0,450.0,11.1,11.2,No,No
GREE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",GJC06BT-A6NRNE1A,GJC06BT-A6NRNG1A,6050.0,540.0,11.0,11.2,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC08BK-A6NRNF2B,GJC08BK-A6NRNE2B,8000.0,660.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW12AXL1,AEW12AXL,12100.0,1070.0,11.2,11.3,No,No
Midea,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",MWA05CR71,MWA05CR71,5000.0,446.0,11.0,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWB08CW71,MWB08CW71,8000.0,666.0,12.0,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWA10CR71,MWA10CR71,10000.0,833.0,12.0,,No,No
Midea,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWA12CR71,MWA12CR71,12000.0,1000.0,12.0,,No,No
Arctic King,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",WWK05CM81N,WWK05CM81N,5000.0,446.0,11.0,,No,No
Arctic King,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",WWK05CR81N,WWK05CR81N,5000.0,446.0,11.0,,No,No
Arctic King,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",WWK05CR81N-B,WWK05CR81N-B,5000.0,446.0,11.0,,No,No
Arctic King,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",WWK06CR81N,WWK06CR81N,6000.0,536.0,11.0,,No,No
Arctic King,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WWK10CR81N,WWK10CR81N,10000.0,880.0,11.2,,No,No
Arctic King,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",WWK15CR81N,WWK15CR81N,15100.0,1348.0,11.1,,No,No
Arctic King,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",WWK18CR82N,WWK18CR82N,18500.0,1652.0,11.1,,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC10AXL1,AEC10AXL1,10200.0,840.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC12AXH1,AEC12AXH1,12100.0,1000.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHP08LXW1,AHP08LXW1,8050.0,665.0,12.0,12.1,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHP08LXW1,QHM08LX**,8050.0,665.0,12.0,12.1,No,No
Haier,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHP08LXW1,QHC08LXW1,8050.0,665.0,12.0,12.1,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHM05LW**,QHM05LX**,5500.0,450.0,12.1,12.2,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC12BL-A3NRNH2P,GJC12BL-A3NRNH2P,12100.0,1100.0,10.9,11.0,No,No
GREE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",GJC06BK-A3NRNC5O,GJC06BK-A3NRNC5O,6000.0,540.0,11.0,11.2,No,No
Haier,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHV05LW**,QHV05LX**,5050.0,460.0,11.0,11.0,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHH10AW**,AHS10AX**,10000.0,820.0,12.0,12.2,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AEW06LXL1,AEW06LXL1,6050.0,540.0,11.0,11.2,No,No
GE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AHS06LX**,AHS06LX**,6000.0,535.0,11.1,11.2,No,No
Haier,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AHS06LX**,QHQ06LX**,6000.0,535.0,11.1,11.2,No,No
GREE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",GJC05BT-A6NMNE1A,GJC05BT-A6NMNE1A,5050.0,450.0,11.1,11.2,No,No
GREE,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",GJC06BT-A6NRNE1A,GJC06BT-A6NRNE1A,6050.0,540.0,11.0,11.2,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC08BK-A6NRNE2A,GJC08BK-A6NRNE2A,8050.0,715.0,11.2,11.3,No,No
GREE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",GJC12BL-A6NRNE2A,GJC12BL-A6NRNE2A,12100.0,1070.0,11.2,11.3,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AHS05LX**,AHS05LX**,5050.0,460.0,11.0,11.0,No,No
PD,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",CYW-23C1A-G09AC,PD-8K-AC,8000.0,708.0,11.3,,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEH18DV** (230),AEM18DX**,18000.0,1510.0,11.8,11.9,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEH18DV** (230),AEL18DX**,18000.0,1510.0,11.8,11.9,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEW18DV** (208),AEW18DX**,17600.0,1570.0,11.1,11.2,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEL14AV**,AHS14AX**,14300.0,1200.0,11.8,11.9,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEL14AV**,AEL14AX**,14300.0,1200.0,11.8,11.9,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEL12AV**,AEH12AX**,12050.0,995.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEL10AV**,AEM10AX**,10000.0,820.0,12.1,12.2,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEL08LV**,AEM08LX**,8050.0,665.0,12.0,12.1,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW08LX**,AEW08LX**,8050.0,715.0,11.2,11.3,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AEM05LV**,AEM05LX**,5200.0,420.0,12.1,12.4,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AEW05LX** (G),AEW05LX**,5100.0,455.0,11.1,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LX**,AER05LX**,5100.0,455.0,11.1,11.2,No,No
GE,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",AET05LX**,AET05LX**,5100.0,455.0,11.1,11.2,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEE24DT** (230),AHE24DX**,24000.0,2550.0,9.4,9.4,No,No
GE,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",AEE18DT** (208),AHE18DX**,17300.0,1600.0,10.7,10.8,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEE12DT** (230),AHE12DX**,11800.0,1070.0,10.9,11.0,No,No
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEE08AT**,AHE08AX**,8000.0,725.0,10.9,11.0,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (208),AEM24DX**,23600.0,2280.0,10.3,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (230),AEL24DX**,24000.0,2310.0,10.3,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEH24DV** (208),AEH24DX**,23600.0,2280.0,10.3,10.3,No,No
GE,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AEW24DV** (208),AEW24DX**,23900.0,2430.0,9.8,9.8,No,No
Frigidaire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",FFRA0511U1,FFRA0511U1E,5050.0,450.0,11.0,11.2,No,No
Frigidaire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",FFRA0511U1,FFRA0522U1,5050.0,450.0,11.0,11.2,No,No
Frigidaire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",FFRE0533U1,FFRE0533U1E,5200.0,420.0,12.1,12.4,No,No
Frigidaire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FFRA0611U1,FFRA0611U1,6000.0,540.0,11.0,11.2,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA0811U1,FFRA0822U1E,8000.0,720.0,10.9,11.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE0833U1,FFRE0833U1,8000.0,660.0,12.0,12.1,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA1011U1,FFRA1011U1,10150.0,920.0,10.9,11.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA1011U1,FFRA1022U1,10150.0,920.0,10.9,11.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE1033U1,FFRE1033U1,10200.0,840.0,12.0,12.1,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE1033U1,FFRE1033U1E,10200.0,840.0,12.0,12.1,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA1211U1,FFRA1222U1,12100.0,1100.0,10.9,11.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA1211U1,FFRA1222U1E,12100.0,1100.0,10.9,11.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE1233U1,FFRE1233U1,12100.0,1000.0,12.0,12.1,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE1233U1,FFRE1233U1E,12100.0,1000.0,12.0,12.1,No,No
Frigidaire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",FFRE1533U1,FFRE1533U1E,15000.0,1260.0,11.8,11.9,No,No
Frigidaire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",FFRE1833U2,FFRE1833U2,18000.0,1510.0,11.8,11.9,No,No
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2233U2,FFRE2233U2,22000.0,2130.0,10.3,10.3,No,No
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2533U2,FFRE2533U2E,25000.0,2420.0,10.3,10.3,No,No
Frigidaire,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",FFRA2822U2,FFRA2822U2,28000.0,3100.0,9.0,9.0,No,No
Frigidaire,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",FFRA2822U2,FFRA2822U2E,28000.0,3100.0,9.0,9.0,No,No
Frigidaire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",FFTA1033U1,FFTA1033U1,10000.0,930.0,10.6,10.7,No,No
Frigidaire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",FFTA1233U1,FFTA1233U1,12000.0,1140.0,10.5,10.5,No,No
Frigidaire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",FFTA1233U2,FFTA1233U2,12000.0,1140.0,10.5,10.5,No,No
Frigidaire,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",FFTH1422U2,FFTH1422U2,14000.0,1490.0,9.3,9.4,No,No
Frigidaire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",FFRE0533S1,FFRE0533S1E,5000.0,410.0,12.1,12.2,No,No
Frigidaire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FFRA0611R1,FFRA0611R1E,6000.0,540.0,11.0,11.1,No,No
Frigidaire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FFRE0633S1,FFRE0633S1E,6000.0,490.0,12.1,12.2,No,No
Frigidaire Gallery,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FGRC0844S1,FGRC0844U1,8000.0,665.0,12.0,12.0,No,No
Frigidaire Gallery,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FGRC0844S1,FGRC0844U1E,8000.0,665.0,12.0,12.0,No,No
Frigidaire Gallery,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FGRQ08L3T1,FGRQ0833U1E,8000.0,665.0,12.0,12.0,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRA1211R1,FFRA1222R1E,12000.0,1100.0,10.9,10.9,No,No
Frigidaire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FFRE1233S1,FFRE1233S1E,12000.0,1000.0,12.0,12.0,No,No
Frigidaire,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",FFRH1822R2,FFRH1822R2E,18500.0,1725.0,10.7,10.7,No,No
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRE2533S2,FFRE2533S2E,25000.0,2425.0,10.3,10.3,No,No
Frigidaire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",FFRH2522R2,FFRH2522R2E,25000.0,2550.0,9.4,9.4,No,No
Frigidaire,(16) Casement-Slider,FFRS1022R1,FFRS1022R1E,10000.0,960.0,10.4,10.4,No,No
Frigidaire Gallery,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",FGRC0644U1,FGRC0644U1,6000.0,490.0,12.1,12.2,No,No
Arctic Wind,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",AW6005D,AW6005D,6000.0,535.0,11.2,,No,No
Arctic Wind,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AW8005D,AW8005D,8000.0,708.0,11.3,,No,No
Arctic Wind,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AW11505D,AW11505D,11500.0,1062.0,11.2,,No,No
Arctic Wind,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",AW24005D,AW24005D,24000.0,2448.0,9.8,,No,No
Brothers Air conditioning,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",102087,102087,18000.0,1525.0,11.8,,No,No
Brothers Air conditioning,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",102132,102132,12000.0,1263.0,9.5,,No,No
Brothers Air conditioning,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",102131,102131,12000.0,1100.0,10.9,,No,No
Brothers Air conditioning,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",102073,102073,12000.0,1100.0,10.9,,No,No
Brothers Air conditioning,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",102053,102053,8000.0,734.0,10.9,,No,No
Perfect Aire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",1PEC5000,1PEC5000,5000.0,454.0,11.0,,No,No
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PEC8000,1PEC8000,8000.0,667.0,12.0,,No,No
Chigo,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WC1-10E-01,WC1-10E-**,10200.0,833.0,12.0,,No,No
