ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2279072,IGLOO,FRF323-B,,Upright Freezer,Manual,Yes,No,3.2,5.6,246,274,9/10/2016,9/14/2016,"United States, Canada",ES_1120898_FRF323-B_09142016094347_6227587
2237770,IGLOO,FRF434I            ,,Chest Freezer,Manual,Yes,No,3.5,6.2,174,194,6/1/2015,4/13/2015,"United States, Canada",ES_1120898_FRF434I_04212015032959_6999496
2245304,IGLOO,FRF434I-B,,Chest Freezer,Manual,Yes,No,3.5,6.2,152,194,7/31/2015,8/7/2015,"United States, Canada",ES_1120898_FRF434I-B_08072015054533_6333634
2210389,IGLOO,FRF438-B,,Chest Freezer,Manual,Yes,No,3.5,6.2,152,194,3/31/2014,4/3/2014,"United States, Canada",ES_1120898_FRF438-B_05152014124958_8198671
2234165,IGLOO,FRF450-B,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,2/1/2015,3/4/2015,"United States, Canada",ES_1120898_FRF450-B_03042015081429_6869278
2234562,IGLOO,FRF452-C,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,2/1/2015,3/9/2015,"United States, Canada",ES_1120898_FRF452-C_03122015021444_6484660
2213850,IGLOO,FRF454-B-BLACK,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,8/1/2014,6/23/2014,"United States, Canada",ES_1120898_FRF454-B-BLACK_06252014184852_2132967
2234166,IGLOO,FRF470-B,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,2/1/2015,3/4/2015,"United States, Canada",ES_1120898_FRF470-B_03042015081747_7067974
2213851,IGLOO,FRF470-B-BLACK,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,7/30/2014,6/23/2014,"United States, Canada",ES_1120898_FRF470-B-BLACK_06252014184902_2142612
2248176,IGLOO,FRF472-B,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,9/15/2015,9/17/2015,"United States, Canada",ES_1120898_FRF472-B_09182015054222_4942381
2256445,IGLOO,FRF508-BLACK,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,1/1/2016,1/2/2016,"United States, Canada",ES_1120898_FRF508-BLACK_01122016063612_0572941
2256446,IGLOO,FRF508-WHITE,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,1/1/2016,1/2/2016,"United States, Canada",ES_1120898_FRF508-WHITE_01122016063631_0591238
2213852,IGLOO,FRF520,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,6/30/2014,6/23/2014,"United States, Canada",ES_1120898_FRF520_06252014184911_2151145
2285191,IGLOO,FRF520-SM,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,11/30/2016,11/30/2016,"United States, Canada",ES_1120898_FRF520-SM_12022016111140_7100641
2213853,IGLOO,FRF705-BLACK,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,7/31/2014,6/23/2014,"United States, Canada",ES_1120898_FRF705-BLACK_06252014184921_2161424
2213854,IGLOO,FRF710,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,6/30/2014,6/23/2014,"United States, Canada",ES_1120898_FRF710_06252014184930_2170193
2285192,IGLOO,FRF710-SM,,Chest Freezer,Manual,Yes,No,7,12.3,198,251,11/30/2016,11/30/2016,"United States, Canada",ES_1120898_FRF710-SM_12022016111152_7112777
2294595,Insignia,NS-UZ14XSS8,,Upright Freezer,Automatic,No,No,13.8,24.3,394,438,4/15/2017,4/19/2017,"United States, Canada",ES_1059185_NS-UZ14XSS8_04202017082446_6686076
2275214,Insignia,NS-UZ14XWH7,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,8/10/2016,8/12/2016,"United States, Canada",ES_1059185_NS-UZ14XWH7_08152016033914_2354756
2303795,Insignia,NS-UZ17XSS9,,Upright Freezer,Automatic,No,No,17,29.6,438,483,9/15/2017,9/20/2017,"United States, Canada",ES_1059185_NS-UZ17XSS9_09202017070115_0875549
2261240,Kenmore,253.22040*,,Upright Freezer,Automatic,No,No,20.2,35.6,480,535,8/10/2015,7/22/2015,"United States, Canada",ES_1021080_253.22040*_03022016064141_70040185
2220985,Kenmore,253.22042*,,Upright Freezer,Automatic,No,No,20.2,35.6,480,535,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.22042*10012014013337_70012088
2220984,Kenmore,253.22742*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.22742*10012014013337_70012088
2220986,Kenmore,253.27002*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.27002*10012014013337_70012088
2220987,Kenmore,253.27003*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.27003*10012014013337_70012088
2219291,Miele,F 1413 Vi,"F 1413 SF,F 1413 SF,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,8.4,14.8,440,491,10/15/2014,9/10/2014,"United States, Canada",ES_0031629_FIN18M1IL1_06182014123847_2737291
2219294,Miele,F 1473 Vi,"F 1473 SF,F 1473 SF,door makeup difference",Upright Freezer,Automatic,Yes,No,7.7,13.6,436,490,10/15/2014,9/10/2014,"United States, Canada",ES_0031629_FID18M1IL1_06182014123847_2737291
2219292,Miele,F 1813 Vi,"F 1813 SF, F 1803 Vi,F 1813 SF, F 1803 Vi,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,15.6,27.5,521,616,10/15/2014,9/10/2014,"United States, Canada",ES_0031629_FIN30M1IR1_06182014123847_2737291
2219293,Miele,F 1913 Vi,"F 1913 SF, F 1903 Vi,F 1913 SF, F 1903 Vi,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,19.2,33.8,575,678,10/15/2014,9/10/2014,"United States, Canada",ES_0031629_FIN36M1IR1_06182014123847_2737291
2222448,Miele,FNS 37492 iE,,Upright Freezer,Automatic,No,Yes,7.8,13.7,439,480,10/6/2014,9/22/2014,"United States, Canada",ES_1017655_FNS 37492 iE_10022014105208_2767851
2244749,PREMIUM,PFV1375MW,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/28/2015,7/22/2015,"United States, Canada",ES_1117600_PFV1375MW_07292015124310_70040588
2244750,PREMIUM,PFV1376MS,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/28/2015,7/22/2015,"United States, Canada",ES_1117600_PFV1376MS_07292015124310_70040588
2218761,PREMIUM,PFV30500MW,"Freezers,PFV30600MS,",Upright Freezer,Manual,Yes,No,3,5.3,240,272,11/1/2014,8/28/2014,United States,ES_1117600_PFV30500MW_09082014195424_6064623
2281040,RCA,RFRF-450-AMZ,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,10/1/2016,10/9/2016,"United States, Canada",ES_1120898_RFRF-450-AMZ_10112016082017_4017648
2281041,RCA,RFRF470-AMZ,,Chest Freezer,Manual,Yes,No,7,12.3,198,251,10/1/2016,10/9/2016,"United States, Canada",ES_1120898_RFRF470-AMZ_10112016082423_4263725
2281042,RCA,RFRF470-BLACK-AMZ,,Chest Freezer,Manual,Yes,No,7,12.3,198,251,10/1/2016,10/9/2016,"United States, Canada",ES_1120898_RFRF470-BLACK-AMZ_10112016082134_4094744
2303376,Signature Kitchen Suite,SKSCF1801*,,Upright Freezer,Automatic,No,Yes,9.6,16.9,480,512,9/5/2017,8/28/2017,"United States, Canada",ES_1118034_SKSCF1801*_09082017125412_70153884
2203378,SPT,UF-114SS,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,3/15/2014,1/24/2014,"United States, Canada",ES_1084573_UF-114SS_01142014044745_2691912
2203377,SPT,UF-114W,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,3/15/2014,1/24/2014,"United States, Canada",ES_1084573_UF-114W_01142014044744_2691912
2210404,SPT,UF-214SS,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,3/15/2014,1/8/2014,United States,ES_1084573_UF-214SS_05052014183754_5074602
2210405,SPT,UF-214W,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,3/15/2014,1/8/2014,United States,ES_1084573_UF-214W_05052014183734_5054818
2210406,SPT,UF-304W,"Freezers,UF-304SS,",Upright Freezer,Manual,Yes,No,3,5.3,240,272,3/15/2014,1/8/2014,United States,ES_1084573_UF-304W_05052014184231_5351384
2211710,Sub-Zero,IC-30FI,,Upright Freezer,Automatic,No,Yes,15.3,26.9,557,610,6/15/2013,5/22/2014,"United States, Canada",ES_0031863_IC-30FI_05222014030921_2730201
2245579,Sub-Zero,IC-36FI,,Upright Freezer,Automatic,No,Yes,20,35.2,631,692,9/1/2015,8/10/2015,"United States, Canada",ES_0031863_IC-36FI_08132015054614_70043043
2209867,Sub-Zero,ID-24F,,Upright Freezer,Automatic,Yes,No,3.8,6.7,377,420,5/1/2014,5/1/2014,"United States, Canada",ES_0031863_ID-24F_04302014021433_2723809
2214556,Sub-Zero,ID-24FI,,Upright Freezer,Automatic,Yes,No,3.8,6.7,377,420,5/1/2014,7/3/2014,"United States, Canada",ES_0031863_ID-24FI_07032014112231_2742900
2209870,Sub-Zero,ID-30F,,Upright Freezer,Automatic,Yes,No,4.9,8.6,356,439,9/1/2013,5/1/2014,"United States, Canada",ES_0031863_ID-30F_04302014021437_2723809
