ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2265432,Whirlpool,WFW81HED*+,,8,Front Load,Delayed Start,Residential,4.2,2.75,1.84,109,3.2,4.7,3936,No,,,,Yes,WED81HEDW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW81HED*+_04262016212440_5880517,No
2276264,Whirlpool,WFW8540F**,,8,Front Load,,Residential,4.5,2.92,1.84,87,3.2,4.7,4210,No,,,,Yes,WED8540F**,7/11/2016,8/22/2016,"United States, Canada",ES_22856_WFW8540F**_08222016230047_6847335,Yes
2276263,Whirlpool,WFW85HEF**,,8,Front Load,,Residential,4.5,2.92,1.84,87,3.2,4.7,4210,No,,,,Yes,WED85HEF**,7/11/2016,8/22/2016,"United States, Canada",ES_22856_WFW85HEF**_08222016224607_5967915,Yes
2265433,Whirlpool,WFW8740D*+,,8,Front Load,Delayed Start,Residential,4.4,2.38,1.84,109,3.7,4.7,4759,No,,,,Yes,WED8740DW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW8740D*+_04262016212706_6026761,No
2265434,Whirlpool,WFW87HED*+,,8,Front Load,Delayed Start,Residential,4.4,2.75,1.84,109,3.2,4.7,4116,No,,,,Yes,WED87HEDW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW87HED*+_04262016213432_6472991,No
2265443,Whirlpool,WFW90HEF**,",WFW90HEFW,",8.83E+11,Front Load,Delayed Start,Residential,4.5,2.92,1.84,89,3.2,4.7,4210,No,,,,Yes,2253248,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW90HEF**_04262016221245_8765195,Yes
2265439,Whirlpool,WFW9290F**,",WFW9290FW,",8.83E+11,Front Load,Delayed Start,Residential,4.2,2.92,1.84,89,3.2,4.7,3936,No,,,,Yes,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW9290F**_04262016215708_7828753,Yes
2265445,Whirlpool,WFW92HEF**,",WFW92HEFW,",8.83E+11,Front Load,Delayed Start,Residential,4.5,2.92,1.84,89,3.2,4.7,4210,No,,,,Yes,WED92HEFW,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW92HEF**_04262016222016_9216351,Yes
2265436,Whirlpool,WFW95HED*+,,8,Front Load,Delayed Start,Residential,4.5,2.75,1.84,109,3.2,4.7,4239,No,,,,Yes,WED95HEDW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW95HED*+_04262016214556_7156013,No
2265437,Whirlpool,WFW97HED*+,,8,Front Load,Delayed Start,Residential,4.5,2.75,1.84,109,3.2,4.7,4239,No,,,,Yes,WED97HEDW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WFW97HED*+_04262016215022_7422072,No
2265449,Whirlpool,WTW7000D*+,,8,Top Load,Delayed Start,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,Yes,"WED7000DW0, WGD7000DW0",6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW7000D*+_04262016231656_2616796,No
2265450,Whirlpool,WTW7040D*+,,8,Top Load,Delayed Start,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW7040D*+_04262016232025_2825705,No
2265451,Whirlpool,WTW7300D*+,,8,Top Load,Delayed Start,Residential,4.8,2.06,1.29,169,4.3,8.4,6076,No,,,,Yes,"WED7300DW0, WGD7300DW0",6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW7300D*+_04262016232358_3038963,No
2296675,Whirlpool,WTW7500G**,,8.83E+11,Top Load,Delayed Start,Residential,4.8,2.06,1.29,212,4.3,8.4,6076,No,,,,No,,9/1/2017,5/26/2017,"United States, Canada",ES_22856_WTW7500G**_05272017000424_3464833,No
2265452,Whirlpool,WTW8000D*+,,8,Top Load,,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,WED8000DW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW8000D*+_04262016232811_3291660,No
2265453,Whirlpool,WTW8040D*+,,8,Top Load,,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,WED8040DW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW8040D*+_04262016233212_3532536,No
2265454,Whirlpool,WTW8500D*+,,8,Top Load,,Residential,5.3,2.06,1.29,196,4.3,8.4,6698,No,,,,Yes,WED8500DW0,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW8500D*+_04272016152904_0944270,No
2265455,Whirlpool,WTW8510F**,,8,Top Load,Delayed Start,Residential,5.3,2.06,1.29,194,4.3,8.4,6698,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_WTW8510F**_04272016153742_1462783,No
2307388,Whirlpool,WTW8700E**,,8.83E+11,Top Load,Other,Residential,5.3,2.06,1.29,251,4.3,8.4,6698,Yes,Wi-Fi,Other,No,Yes,WED8700EC0,6/1/2016,12/5/2017,"United States, Canada",ES_22856_WTW8700E**_04272016154018_1618713,No
